id,token_name,token_address,network,price_at_alert,score,base_score,momentum_bonus,confidence_score,volume_24h,volume_6h,volume_1h,liquidity,buys_24h,sells_24h,buy_ratio,total_txns,age_hours,created_at
80,MEC / USDT,0x626ae6b43a89739964aa95196a1c6f5a8e06cf7a,bsc,22.4561086060235,100,100,10,85,1485968.52878749,109434.506458208,17772.1247236244,1102148.4579,1930,1770,0.0,3700,45.549672039444445,2025-12-17 07:33:48

81,AIA / USDC 0.01%,0xadedafd06cc16dec264fb02d3f8570e072daee35,bsc,0.125422712746169,58,50,8,85,7998656.07807841,929404.27322599,198496.97707764,906514.5366,16551,14973,0.0,31524,49.48078317416667,2025-12-17 07:33:49

82,MEC / USDT,0x626ae6b43a89739964aa95196a1c6f5a8e06cf7a,bsc,22.3644788402384,100,100,10,85,1483663.83801482,109665.967775547,17822.0396248346,1102362.424,1931,1759,0.0,3690,45.64000281444444,2025-12-17 07:39:12

83,AIA / USDC 0.01%,0xadedafd06cc16dec264fb02d3f8570e072daee35,bsc,0.125400473731911,60,50,10,85,7933184.16782014,930252.573402646,189590.974807319,908109.1898,16443,14857,0.0,31300,49.571113947499995,2025-12-17 07:39:13

84,MEC / USDT,0x626ae6b43a89739964aa95196a1c6f5a8e06cf7a,bsc,22.4632833080838,100,100,10,85,1462528.47829269,109430.979974448,18037.3885464557,1101937.3654,1920,1746,0.0,3666,45.730034224722225,2025-12-17 07:44:37

85,AIA / USDC 0.01%,0xadedafd06cc16dec264fb02d3f8570e072daee35,bsc,0.125963021583948,58,50,8,85,7808435.14723966,935834.922924364,180876.104428744,910305.5975,16201,14687,0.0,30888,49.661145362499994,2025-12-17 07:44:39

86,MEC / USDT,0x626ae6b43a89739964aa95196a1c6f5a8e06cf7a,bsc,22.4106959048615,100,100,10,85,1462370.7280136,104772.796789064,18159.1064305723,1100063.3021,1915,1748,0.0,3663,45.820498015,2025-12-17 07:50:02

87,AIA / USDC 0.01%,0xadedafd06cc16dec264fb02d3f8570e072daee35,bsc,0.125519684820237,58,50,8,85,7769106.84976224,942181.016777557,155781.673902624,908672.4326,16109,14605,0.0,30714,49.751609145277776,2025-12-17 07:50:03

88,MEC / USDT,0x626ae6b43a89739964aa95196a1c6f5a8e06cf7a,bsc,22.7053884936702,100,100,10,85,1461636.72850475,108795.870760146,21723.7917084521,1108578.8567,1920,1741,0.0,3661,45.910585171111116,2025-12-17 07:55:26

89,IR / WETH 0.3%,0x2aae3e23b53c90027d8b3ebc9864ac91339533ba,base,0.0341840877806089,90,60,30,85,269830.992170066,269830.992170066,269830.992170066,334186.8151,246,121,0.0,367,0.2187068577777778,2025-12-17 07:55:30

90,AIA / USDC 0.01%,0xadedafd06cc16dec264fb02d3f8570e072daee35,bsc,0.126414654047912,58,50,8,85,7747445.86519121,957392.278480991,151701.138105043,910519.927,16063,14513,0.0,30576,49.84169631138889,2025-12-17 07:55:33

91,MEC / USDT,0x626ae6b43a89739964aa95196a1c6f5a8e06cf7a,bsc,22.6913152346796,100,100,10,85,1459460.7946578,103107.49026197,20972.0900646503,1105153.1688,1921,1738,0.0,3659,46.00219487694444,2025-12-17 08:00:56

92,IR / WETH 0.3%,0x2aae3e23b53c90027d8b3ebc9864ac91339533ba,base,0.0338263861790515,95,65,30,85,397134.436831822,397134.436831822,397134.436831822,346925.5456,345,174,0.0,519,0.3101838338888889,2025-12-17 08:00:57

93,AIA / USDC 0.01%,0xadedafd06cc16dec264fb02d3f8570e072daee35,bsc,0.124533412462711,58,50,8,85,7685986.28917752,963143.37950105,148325.785880647,903654.1788,15969,14394,0.0,30363,49.93330601666667,2025-12-17 08:00:59

94,MEC / USDT,0x626ae6b43a89739964aa95196a1c6f5a8e06cf7a,bsc,22.6972696842619,100,100,10,85,1458365.75348853,98908.4431302638,20270.2088173032,1105818.4812,1921,1732,0.0,3653,46.092671871388895,2025-12-17 08:06:22

95,IR / WETH 0.3%,0x2aae3e23b53c90027d8b3ebc9864ac91339533ba,base,0.0369063314719871,90,60,30,85,486975.844788139,486975.844788139,486975.844788139,357805.3742,1750,690,0.0,2440,0.40066059833333334,2025-12-17 08:06:23

96,AIA / USDC 0.01%,0xadedafd06cc16dec264fb02d3f8570e072daee35,bsc,0.122405096641574,58,50,8,85,7636207.74227485,964959.992216568,146972.477285008,896382.0778,15881,14275,0.0,30156,50.023783010277775,2025-12-17 08:06:25

97,MEC / USDT,0x626ae6b43a89739964aa95196a1c6f5a8e06cf7a,bsc,22.1100050704243,100,100,10,85,1463243.22481095,98906.7245402254,18687.2700167454,1096682.1373,1924,1733,0.0,3657,46.18320001472222,2025-12-17 08:11:47

98,MEC / USDT,0x626ae6b43a89739964aa95196a1c6f5a8e06cf7a,bsc,22.3084642440868,100,100,10,85,1462043.97807037,96398.310161317,17459.0566717094,1096201.4847,1923,1727,0.0,3650,46.27278700638889,2025-12-17 08:17:10

99,AIA / USDC 0.01%,0xadedafd06cc16dec264fb02d3f8570e072daee35,bsc,0.124208498092554,58,60,-2,85,7427034.91232793,999447.104228476,157579.230478689,911919.8894,15410,13949,0.0,29359,50.203898144722224,2025-12-17 08:17:11

100,MEC / USDT,0x626ae6b43a89739964aa95196a1c6f5a8e06cf7a,bsc,22.1909476401455,100,100,10,85,1462124.50734613,96478.8394370715,17539.5859474639,1095808.0664,1924,1729,0.0,3653,46.362846499999996,2025-12-17 08:22:34

101,AIA / USDC 0.01%,0xadedafd06cc16dec264fb02d3f8570e072daee35,bsc,0.124228393822673,58,50,8,85,7327868.13767155,1004654.79546689,162513.678387952,902172.2222,15244,13779,0.0,29023,50.29395763694445,2025-12-17 08:22:36

102,MEC / USDT,0x626ae6b43a89739964aa95196a1c6f5a8e06cf7a,bsc,22.2815480705528,100,100,10,85,1461539.18499534,96559.3681266925,17679.0732461695,1092740.3494,1921,1726,0.0,3647,46.45287511833333,2025-12-17 08:27:58

103,AIA / USDC 0.01%,0xadedafd06cc16dec264fb02d3f8570e072daee35,bsc,0.120867758854309,58,50,8,85,7276014.54634301,1057033.47773754,203164.786232883,889465.17,15183,13691,0.0,28874,50.383986246666666,2025-12-17 08:28:00

104,MEC / USDT,0x626ae6b43a89739964aa95196a1c6f5a8e06cf7a,bsc,22.256939093887,100,100,10,85,1460488.8089905,95600.8348065802,13546.0981077656,1094729.4673,1913,1718,0.0,3631,46.5428628425,2025-12-17 08:33:22

105,AIA / USDC 0.01%,0xadedafd06cc16dec264fb02d3f8570e072daee35,bsc,0.120854513556743,58,50,8,85,7201700.6206904,1047997.66620232,198817.283336821,892043.2521,15034,13576,0.0,28610,50.47397397194444,2025-12-17 08:33:24

106,MEC / USDT,0x626ae6b43a89739964aa95196a1c6f5a8e06cf7a,bsc,22.1310849003571,100,100,10,85,1459778.25530705,95952.9508689468,13559.694005755,1094385.0554,1910,1718,0.0,3628,46.63291247611111,2025-12-17 08:38:46

107,Infrared / SOL,94D5waFj61j5Qkwbq1UUpQ7xLigWVMPpUPHqYaqW4HhS,solana,0.0002669616293810493,85,55,30,85,180935.183040529,180935.183040529,180935.183040529,224307.2989,610,176,0.0,786,0.04870245222222222,2025-12-17 08:38:48

